"","beta0","beta1","beta2","beta3","beta9","beta10","beta11","beta12","zero.coeffs"
"CA",-2.237,-0.819,-8.106,-9.561,-0.5,-0.251,-0.108,-0.027,0
"CTAG",-5.929,0,0,0,0,0,0,0,12
"DIS",-2.982,-2.718,-3.925,2.087,0,0,0,0,5
"EM",-2.055,-2.916,8.393,-6.364,-0.059,0,0,0,3
"EMN",-3.759,-9.592,-21.114,140.738,-20.777,-10.717,-5.338,-2.578,0
"ED",-3.448,-1.903,-0.265,0,0,0,0,0,10
"FIA",-2.43,-3.372,-3.619,-0.019,0,0,0,0,7
"GM",-6.171,-4.017,5.607,4.989,0,0,0,0,5
"L/S",-3.819,-1.888,-3.495,-0.008,0,0,0,0,6
"MA",-5.003,-0.525,0,0,0,0,0,0,11
"RV",-3.313,-4.304,-2.201,-0.442,0,0,0,0,9
"SS",-2.979,-9.025,21.119,-4.339,0,0,0,0,4
"FoF",-3.761,-2.204,-1.917,0,0,0,0,0,8
